UserName,ScreenName,Location,TweetAt,OriginalTweet,Sentiment
14,44966,,4/3/2020,"#Covid_19 Went to the Grocery Store, turns out all cleaning supplies have been bought out for fear of Coronavirus.

My daughter's substitute teacher showed her class how to make hand sanitizer. Now I just need to buy some 100% alcohol. Wish me luck that any stores will have it.",Extremely Positive
15,44967,"Washington, DC",4/3/2020,"While we were busy watching election returns and bracing for a Covid-19 outbreak, Trump nominated a chemical-industry lobbyist to head the Consumer Product Safety Commission https://t.co/M2ShHI1Tn0",Positive
16,44968,Bengaluru ,4/3/2020,"#AirSewa 

@flyspicejet is not providing #webchecin customers free seats.

Passengers are forced to choose paid seats as free seats are made available only at airport counter. 

This should be stopped as its discriminatory and against travellers rights 

@HardeepSPuri @MoCA_GoI",Extremely Negative
17,44969,Mumbai,5/3/2020,"What Precautionary measures have you all taken in your respective Restaurants and Hotels, Comment below...
#COVID-19 #Coronavirus

COVID-19: Hotel chains enforce precautionary measures, issue safety, hygiene advisories
https://t.co/7Zo2vqSPzY",Extremely Positive
18,44970,"Toronto, Ontario",5/3/2020,"When youre stockpiling food &amp; other supplies, buy extra for your local food bank. Many families dont have the luxury to spend beyond their weekly budget. @DailyBreadTO  #coronavirus",Neutral
19,44971,,5/3/2020,"That's about a week from now. A bit optimistic.  Probably it will take another month.  Supply chain may be recovering, demand chain will be non-existent in US and Europe for the next month or two.
$spx $qqq $es $nq https://t.co/yXcOfL0BnI",Positive
20,44972,Tallahassee,5/3/2020,"Studies show the #coronavirus like #COVID19 can live up to nine days on hard surfaces like metal, plastic, and glass.

Our Deputy Commissioner of Consumer Affairs Mary Barzee Flores shows you how to keep clean at the gas pump.

Watch and share? https://t.co/AIqATWT5zz",Extremely Positive
21,44973,Malta,5/3/2020,"#CoronaVirus #COVID_19 People are starting to become frightened and to do #PanicShopping. Many shelves, meanwhile, turn empty as #goods are sold. #FaceMasks &amp; disinfection liquid are sold out, or they are sold for exorbitant prices! #Blockchain #CryptoNews https://t.co/AkR3lmLEKf",Negative
22,44974,"Texas, USA",5/3/2020,"For those of you that think credit/debit is just as good as #bitcoin when it comes to combating #coronavirus, keep in mind that this is not a ""contactless transaction.""  How many people at your grocery store or gas station touch this keypad every day? https://t.co/WVq8bb9OlS",Extremely Positive
23,44975,"Florida, USA",6/3/2020,Control over stocks and gold is lost...gold coming back very nicely! Loves wallbridge and Balmoral and warns listeners about #coronavirus Sprott Money Ltd. recently put in money to $OCG $GENM $MMG and many more... https://t.co/3aURZ2e4Sj,Extremely Positive
24,44976,Chandigarh,6/3/2020,"Sellers are cashing on your panic to sell facemasks and sanitizers at super inflated prices.

In reality, neither sanitizer nor facemasks are ""must have"" to save yourself from #coronavirus. 

Please watch this video for more :

https://t.co/sgOFnAu4j8",Extremely Positive
25,44977,Canada,7/3/2020,"Canada's oilpatch is bracing for the impact of plunging crude prices after OPEC and its allies failed to reach a deal aimed at cutting production as economies slow because of the novel #coronavirus. The fool @Jkenney based his budget on hired oil prices 

https://t.co/fDCpQPvPuo",Extremely Negative
26,44978,"Wayne County, MI",7/3/2020,"Alright yall I hope our Melanin prevails but just in case I took some precautions I had some food &amp; water delivered. ????? Ive had my masks for a month and may have to open soon! 
?? #B1 #FBA 

#CoronavirusUSA #COVID https://t.co/cTQMDgDgtD",Positive
27,44979,"Bondi Beach, Sydney",7/3/2020,When your usual grocery shopping @woolworths turns into a toilet paper fight in the supermarket aisle. Yikes. #toiletpaperpanic for the #coronavirus has taken a whole new level. https://t.co/aKJ283I20C,Negative
28,44980,,7/3/2020,"Coronavirus panic spreads: Costco is pulling free samples over COVID-19 - USA TODAY

Coronavirus panic spreads: Costco is pulling free samples over COVID-19  USA TODAY

'It's pandemonium': virus panic-buying hits Los Angeles  Yahoo News

How Costco is Ha https://t.co/MyTDpDomEI",Negative
29,44981,,7/3/2020,"While you are stocking up, waiting for quarantine, if you can don't forget to donate  food, water, and toiletries to your local food banks to help others without the means to stock up. Get ahead of it before it becomes a crisis. #covid19 #coronavirus",Negative
30,44982,United States,7/3/2020,"#Coronavirus is ""an exposure of all the holes in the social safety net,"" says NELP Government Affairs Director Judy Conti

#UI #Unemployment #PaidLeaveForAll
https://t.co/BrCY9IJWSv",Positive
31,44983,"New York, New York",7/3/2020,"Two important phone numbers NYers should know. If you have no doctor or insurance and think you may be sick and need to be tested for #coronavirus, call the state's helpline: 1-888-364-3065. To report price gouging, call the Div. of Consumer Protection at 1-800-697-1220.",Negative
32,44984,"London, England",8/3/2020,"Tip for all Pro Wrestlers to help combat the #coronavirus...be more like @ZoeLucasPro and bring hand sanitizer to your matches as a precaution

#EVEWrestling @ProWrestlingEVE https://t.co/SUYUsaPm7j",Extremely Positive
33,44985,USA,8/3/2020,"Is this effective?
Is it necessary?
Or is it just optics?
Scare tactics?
For the American consumer?
For US MSM to use?
If optics, What is the intended effect?
Fear?
Crash US Market-&gt;panic-&gt;elect Biden

#Qanon #coronavirus https://t.co/H48ZMfuAme",Extremely Negative
34,44986,"Toronto, Ontario",8/3/2020,"IMHO Russia's rug pull on oil prices is designed to end the dollar as the global reserve currency. How? Corp debt collapse, led by high yield and fracking, compounded by COVID-19, will mean Fed and US Govt respond with #MMT. Ciao dollar. Alt is collapse. Got #Gold or #Silver yet?",Extremely Negative
35,44987,"Angmering, West Sussex",8/3/2020,So not due to #Brexit at all then &gt;&gt; Supermarkets begin #foodrationing after wave of #coronavirus-fuelled panic buying https://t.co/AKgkHxO0tW,Neutral
36,44988,"Dont ask for freedom, take it.",8/3/2020,"Remember, with all the media deflection stories about bog rolls, panic-buying, food shortages, Covid-19, Irish bridges etc etc.

We've still got Brexit, Austerity, poverty, a crashing economy &amp; the worst UK Govt in living memory. 

All depressing stuff &amp; it aint gonna end well.",Extremely Negative
37,44989,"New York, NY",8/3/2020,"Fellow Uni instructors! COVID-19 f2f class cancelations are  inconvenient! But remember you're salaried employees. Maybe call/email HR or your union &amp; demand to know how hourly workers (clerical, food-service, custodial, etc) will be  compensated during campus closures?",Negative
38,44990,,8/3/2020,"@howroute Its not even over food... what the actual heck?? I have news for these people ... 

you need food and water before you need the paper to wipe your a$$. Just sayin.. ? 

#covid19 #Covid_19 #coronavirus #corona #virus #panic",Neutral
39,44991,"Sydney, New South Wales",8/3/2020,"1/25 Part 1 - Why does soap work so well on the SARS-CoV-2, the coronavirus and indeed most viruses? Because it is a self-assembled nanoparticle in which the weakest link is the lipid (fatty) bilayer. A two part thread about soap, viruses and supramolecular chemistry #COVID19 https://t.co/OCwqPjO5Ht",Negative
40,44992,Socially Distanced in NC,8/3/2020,"Thread: Please STOP shaming folks who stock up on food and personal care products ahead of #CoronaVirus #COVID19. #Trump made it clear that he doesnt care and wont help, so theyre protecting their families their way. Its a tiny bit of mastery and control in terrifying times. https://t.co/12eMup9mtA",Extremely Positive
41,44993,"Michigan, USA",9/3/2020,"For those thinking #seniors #disabled &amp; #vets shouldnt be included in any @realDonaldTrump aid package because of #Covid_19 #coronavirus check prices on antibacterial soaps, disinfectant safer transportation other than crowded city busses list goes on @SenStabenow @RashidaTlaib",Positive
42,44994,Pennsylvania,9/3/2020,"So far 36 Pennsylvanians have reached out to my Office to report inflated prices on everything from disinfectant spray to liquid soap.
 
Price gouging like this isnt just wrong, its illegal. Keep your emails coming: pricegouging@attorneygeneral.gov #coronavirus",Negative
43,44995,Kolkata?? and Dhaka??,9/3/2020,"Global stock markets continued their bear run as #DowJones and S&amp;P500 plunged as they opened on Monday. Plunge was largely on the back of the 30% overnight slump in #CrudeOil prices, along with the persistent concerns over the impact of #CoronaVirus on the global #economy.",Neutral
44,44996,"Washington, D.C.",9/3/2020,Scammers are taking advantage of fears surrounding the #Coronavirus. Here are some tips to help you keep scammers at bay: https://t.co/Yt892bgnBu #COVID2019 https://t.co/kmILU80H6h,Positive
45,44997,"Burnaby, British Columbia",9/3/2020,"Are you doing business in international markets? This @ExportDevCanada webinar will show you how to navigate todays exporting challenges and rising commodity prices due to the COVID-19 virus.

https://t.co/pDBUlOnAEI",Positive
46,44998,"Manhattan, NY",9/3/2020,"For those in gig economy who only earn if ppl are going out, we can immediately process refunds for 2019 Earned Income Tax Credit or Child Tax Credit - or they can borrow against 2020 credits. That cash can help make ends meet until normal consumer behavior returns #coronavirus",Extremely Positive
47,44999,"Colorado, USA",9/3/2020,"I have instructed that insurance companies make COVID-19 testing free. This important step will help ensure cost barriers do not stand in the way of people getting tested. 

Read more: https://t.co/0VrdDfNPay https://t.co/9JdaVZw7ai",Extremely Positive
48,45000,"Washington, DC",9/3/2020,The oil prices dipping has absolutely nothing to do with #COVID2019 it has everything to do with #OPEC talks collapsing and Saudi feuding with Russia. Celebrate and calm the hell down.. weirdos.,Extremely Negative
49,45001,United States,9/3/2020,"Global stocks plummeted today due to fear surrounding #COVID2019 and falling oil prices, which saw the biggest one-day drop since the 1991 Gulf War.

Let's look at how the major stock indices have been reacting to the news, based on their closing values. https://t.co/fV7IehqaDo",Extremely Negative
50,45002,#NoNazis?? kaspum zaháv,9/3/2020,"The beginning of a  global recession!

#Coronavirus damaging health crisis?
#oil prices falling down?
US stocks falling down?
7% drop this morning &amp; trading halt?
#migration crisis at the EU borders 
#housingCrisis &amp; skyrocketing rents. Tenants are losing 50% of income?
#Q*",Extremely Negative
51,45003,Australia,9/3/2020,"@7NewsSydney @ScottMorrisonMP Some Factors have bought on the recession 1)Ignoring per-capita recession, 2)wage growth stagnant 3)Consumer debt levels are through the roof 4) casualized work! These changes in the economy are driven by government not #co",Extremely Negative
52,45004,USA|EUROPE|ASIA|GLOBAL??,9/3/2020,"Cuomo press conference...
New York is releasing new brand of state made had sanitizer prices from $0.80¢ - $6 a gallon!
#CoronaVirusUpdates #Corona #CoronavirusOutbreak #virus #COVID2019 #COVID19 #NYC

https://t.co/9jhElBwElZ",Neutral
53,45005,Colorado,9/3/2020,"Ignore online offers for #vaccinations. There currently are no vaccines, pills, potions, lotions, lozenges or other prescription or over-the-counter products available to treat or cure #Coronavirus disease 2019 (COVID-19)  online or in stores.

@FTC tips: https://t.co/Sqbf4LHB8H https://t.co/DX5po1KDqi",Negative
54,45006,"Cambridgeshire, UK",9/3/2020,"If you are lucky enough to be sitting at home with enough food to get you through a period of self-isolation, please consider donating to the @TrussellTrust to help those who couldn't stock up even if they wanted to. #TrussellTrust #foodbanks #coronavirus #COVID19",Extremely Positive
55,45007,earth,9/3/2020,"@thehill Americans need to take it upon themselves to help avoid contracting covid-19.
Prep to self quarantine for 2 wks.
Stop unnecessary travel or crowd gatherings.
Talk to your employer about how to proceed w/o harm to your career.
Plan for sch",Extremely Negative
56,45008,?? ???? ?????? . ??? ???? ???,9/3/2020,"@realDonaldTrump Separate Table of US Corna Virus Statistics.
 Very high stats of corona virus.
 US Government's Inability to Control Corona Virus.
 High Price Disinfectant Gel in USA High price of mask in USA. 
Food prices are rising day by day",Negative
57,45009,"Texas, USA",10/3/2020,"#ToiletPaper shortage ??
Don't believe everything you see on TV! My Costco just now....,.#CoronaVirus https://t.co/FDviKzgFwd",Negative
58,45010,"Western Australia, Australia",10/3/2020,"Come on guys, please be like bob!

#COVID2019 #panicbuying #coronavirus https://t.co/kMly3zNynR",Positive
59,45011,London,10/3/2020,"If you have booked a ticket to an event as part of a package holiday you will be offered an alternative or a refund by your travel provider, if it has been cancelled due to #Coronavirus.

Check ABTA's consumer Q&amp;A at: https://t.co/oUB4MNmrNA

#COVID19 https://t.co/kMHJehS2JH",Positive
60,45012,,10/3/2020,"Breaking: New Jersey officials urge residents to stock up for a two week #coronavirus quarantine ""Just in case""

#COVID19 
https://t.co/fc8imQ7TAR",Neutral
61,45013,"Dallas, USA",10/3/2020,"4- Russia LNG will also suffer. The irony is, spot LNG prices were already at a record low because of the #Coronavirus and the declaration of force majeure by Chinese companies. 

Contracted LNG became the only way to make money until oil prices collapsed. It is a big hit https://t.co/ksFQ4uzqAn",Extremely Negative
62,45014,"Bowling Green, KY",10/3/2020,#BreakingNews #terrorists have watched closely as the #coronavirus spins its web. They now know what Americans value most. Wiping their ass! Citizens rush to buy toilet paper but neglect to stock up on food! Terrorists are holding our #toiletpaper  factories hostage! Film at 11! https://t.co/7maYfTGxJA,Extremely Negative
63,45015,Five offices across Canada,10/3/2020,"""As the novel #coronavirus (or #COVID19) continues to spread worldwide, its impact on international business operations, supply chains, travel, commodity prices, consumer confidence and business forecasts is becoming increasingly acute.""
#BLGPublication https://t.co/BDIedMNksK",Extremely Positive
64,45016,,10/3/2020,"Lower #Oil prices, lower #InterestRate, and some sort of fiscal #stimulus is great, but the consumer isn't the problem. The problem is fear of #coronavirus and fear of being quarantined for 14 days. That's why people stopped traveling. Not because of interest rates or taxes.",Extremely Negative
65,45017,,10/3/2020,Consumers have increased their online shopping due to coronavirus. https://t.co/5mYfz3RAD0 #retail #ecommerce #study #coronavirus https://t.co/Dz3H6zrWUT,Positive
66,45018,"Lambeth, London",10/3/2020,"For those self indulging in thoughts of food, medicine and essential household goods stock piling. Like people on universal credit be stock piling FFS!!! #coronavirus",Negative
67,45019,"Wales, United Kingdom",10/3/2020,"Ok if #COVID2019 is nothing to panic about why is Italy imposing the biggest restrictions on the civilian population since WW2? 
How will the supermarkets be able to provide food if all the workers are told to stay at home? 
Same with any other Bussiness.",Positive
68,45020,Washington DC,10/3/2020,"Trump said people must ""be vigilant,"" then concluded, ""Be calm. It's really working out. And: lot of good things are going to happen. The consumer is ready. The consumer is so powerful in our country with what we've done with tax cuts and regulation cuts and all of those things.""",Extremely Positive
69,45021,Edmonton Alberta,10/3/2020,"The top food items to stock up on in case you are quarantined 

#Coronavirus home stays are on peoples minds. Here are ten foods for stocking a pantry to support physical and mental health.

https://t.co/jrvxRIb57L",Positive
70,45022,"Manchester, UK",10/3/2020,"Hi all! Please support your local Chinese Restaurant &amp; order some delicious food from them ? They are really struggling with the #COVID2019 panic, many are having to let staff go.

My favs in #Manchester are @sweetmandarin &amp; @blueeyedpandam4
Thank you! ??

#iwilleatwithyou https://t.co/jpDHxQMBTv",Positive
71,45023,Missouri,10/3/2020,Report any and all instances of price gouging or other COVID-19 scams to the Attorney Generals Consumer Protection Hotline at 800-392-8222 or online at https://t.co/YB2NrTWlfg. #coronavirus https://t.co/H3QqmM3BBl,Negative
72,45024,,10/3/2020,"Russia by breaking rank from OPEC+ signalled an intent to take down their nemesis: American oil and gas industry.

#USElections2020 #COVID2019 #OilWar are steeped in markets least favorite thing: Uncertainty

But THIS TIME they won't succeed

Low Oil prices won't last long #OOTT https://t.co/TwKYxrDfoW",Extremely Positive
73,45025,España / USA,10/3/2020,"?80% of #Retail experts talk about a significant decrease in #store traffic due to #coronavirus ??
??Check our article???

https://t.co/eobzo0WOUS",Positive
74,45026,,10/3/2020,Met with members of our distributive trade today to examine their preparation   for the impact of Covid 19. Based on reports our key manufacturers and importers have at least 2 to 3 mths of stock. We therefore do not expect that there will be any shortage in critical food items. https://t.co/jtFneBWuVy,Negative
75,45027,New York City,10/3/2020,"Say you need to stock up on #food for a couple of weeks, here's tips on what to get and how to properly store those #perishable items. #coronavirus https://t.co/GnLgWqxpjl https://t.co/cCKvA2ktQ4",Neutral
76,45028,Kjipuktuk/Halifax,10/3/2020,"My genuine concern around #COVID2019 are folks who may have to isolate, but work low wage/hourly pay jobs - folks who are barely getting by, who DONT get paid sick days. Folks who cant stock up on weeks worth of food. Folks who cant NOT work. 

The working poor will suffer most",Extremely Negative
77,45029,Australia,10/3/2020,"We could have as many as 60% of the world's population infected with the #Coronavirus by the end of the year.

Your prayers are useless, only science will come to the rescue. If this does happen, our world will not recover for years. Stock up your can food people. #doomsdayBunker",Negative
78,45030,"Manchester, NH",10/3/2020,"IMPORTANT UPDATE! Our CEO Brian Beaulieu has broadened the scope of his COVID-19 webinar. Expect more on the oil prices drop, stock market developments, retail sales, and unfolding situations in China and Italy. Learn more and register: https://t.co/3muKagEw4p https://t.co/uOuyUfjRyW",Positive
79,45031,"Columbus, OH",10/3/2020,".@Target taking #coronavirus #COVID19 seriously. Stores are adding hours and staff to clean more rigorously, stopping food samples, bolstering order pick up and drive up, encouraging employees to stay home, adding more stock, and limiting # of items in purchases.

@wsyx6 https://t.co/p1EJDPvnyy",Positive
80,45032,US,10/3/2020,"CDC: Older folks should stock up on food, stay home amid #coronavirus - Business Insider  Wow! https://t.co/ygcPtE7F1L",Positive
81,45033,"Tampa, FL",10/3/2020,"If 1,000,000 get infected with a 2% death rate for the #coronavirus then 20,000 will die in USA.

If you dont have mo mney to stock up food, then find a fishing hole and supplies to hunt and fish!",Extremely Negative
82,45034,Dublin,10/3/2020,"Every shop, chemist or retailer of any sort who raises prices during #coronavirus should be boycotted when it's all over. The greed in this country starts with those who've governed us for almost 100 years. FF and FG have made many of us lose our compassion and decency.",Negative
83,45035,,10/3/2020,"No, witch hazel won't help protect you from #coronavirus ...even in a DIY hand sanitizer: https://t.co/DYyShJHRGm @AmeshAA",Extremely Positive
84,45036,,10/3/2020,"@thehill DonaldTrump with lies or with rumor
Never recognized his sense of humor
..so he sells us his balm
..just tells us to stay calm
And blames it all on the consumer. 

#COVID19 #Trumpdemic #coronavirus",Negative
85,45037,,10/3/2020,"@realDonaldTrump .-.
THE BALM OF CORONAVIRUS

#DonaldTrump with lies or with rumor
Never recognized his sense of humor
..so he sells us his balm
..tells us just to stay calm
And blames it all on the consumer. #COVID19 #Trumpdemic #coronaviru",Negative
86,45038,Worldwide,10/3/2020,Q1 #earnings are expected to be heavily impacted by #coronavirus with steep declines in commodity prices and analysts cutting estimates. @TDhillon33 and @DaveAurelio analyse the data: https://t.co/1uhWfTLx6u #TrustedData #Refinitiv  #COVID19 https://t.co/afvLnL1zIA,Negative
87,45039,"Galway, Ireland",10/3/2020,"These are some of the suggestions to slow/stop #COVID2019
1. Work remotely from home 
2. Online school/ lectures
 3.Keep updated on the HSE/Dept of Health website 
4. Order shopping online for delivery ALL  NEED BROADBAND #remoteworking #broadband #rural",Negative
88,45040,IN,10/3/2020,Retailers gouging consumer on Clorox spray wipes and sanitizers. What use to be under $5 is now $29 or more Even if its available! Gee bet they make it all in China. ????? #sanitizer #coronavirus,Neutral
89,45041,Massachusetts,10/3/2020,"Stay vigilant, stay safe. As we adapt to COVID-19, know that our office is here for you. We can answer questions about scams, sick time, and fraud.

Consumer Hotline: 617-727-8400
Health Care Hotline: 1-888-830-6277
Fair Labor Hotline: 617-727-3465 https://t.co/GjNWCmtY1U",Negative
90,45042,"New Jersey, USA ??",10/3/2020,"Even without the #coronavirus, suspension or elimination of the #payrolltax is the quickest and most sensible means of enhancing consumer liquidity for working Americans, especially part-time and low wage workers.

Once again, @realDonaldTrump is doing exactly the right thing.",Negative
91,45043,East of England,10/3/2020,"This is the advice from national US health experts for over 60's on avoiding #coronavirus

""CDC: Americans over 60 should stock up on food and medications and avoid venturing out as the coronavirus spreads""

UK gov: wash your hands &amp; carry on

#Covid_19 

https://t.co/QKolJTOPdr",Negative
92,45044,Ipswich,10/3/2020,"The awful impacts of the #Coronavirus are continuing to be felt around the world. 
These events in China are also affecting the UK container industry. But what does this mean for you as a consumer, looking to buy #ShippingContainers?
Find out more: https://t.co/ir3YeBoFbS
#MrBox https://t.co/wLHwiAVhIB",Negative
93,45045,England,10/3/2020,Wash your hands more often for 20 seconds with soap and water. Or use hand sanitiser.,Positive
94,45046,North Carolina,10/3/2020,"Coronavirus, COVID-19, oil price drop will lead to US recession - Business Insider https://t.co/A7hsqwQDOe",Negative
95,45047,,10/3/2020,"My German colleagues have confirmed that Hamsterkäufe, as in how a hamster stuffs its cheeks with food, is indeed the German term for panic buying. This is the cute news I need today.
#hamsterkäufe #COVID2019 #covid19ireland #Coronavirusireland #panicbuyingireland #panicbuying https://t.co/b5PwFU9tvz",Negative
96,45048,Ireland,10/3/2020,"The government must provide hand sanitizer in all public buildings and transport hubs, as a matter of the utmost urgency.

The state must penalize any business trying to profit from this crisis by rising prices for essential items like hand sanitizer. #COVID19ireland #COVID2019 https://t.co/tzyJ2KwJp7",Extremely Positive
97,45049,United States,10/3/2020,What You Need If Quarantined at Home | #Coronavirus - Consumer Reports https://t.co/fqPmJIBlfd,Neutral
98,45050,"Indianapolis, IN",10/3/2020,"See the new @FujifilmX_US X-T4 and X100V at Roberts! Join us on Saturday March 14th at Roberts Downtown location from 10am to 5pm.

Make sure to stop in and register for a FREE mystery giveaway! https://t.co/KUA79uARxv https://t.co/P6etFT5U7f",Extremely Positive
99,45051,"San Diego, CA",10/3/2020,"Spiking prices during a state of emergency is a crime, REPORT IT: https://t.co/k4Zt898LQl 

#Coronavirus #COVID2019 https://t.co/3FgvYt93W7",Extremely Negative
100,45052,,10/3/2020,"Besides canned food and toilet paper.

https://t.co/oo3UHc9HxO
$KR $TGT $WMT $AMZN $COST $CVS #investing #stocks #coronavirus #covid19 #market #economy",Neutral
101,45053,"Hyderabad, India",10/3/2020,"@NileshShah68 I have summarized the most important points from the paper in this thread:
https://t.co/dTZg4vg8VM",Positive
102,45054,USA,10/3/2020,@HLAurora63 My husband asked me today if we should stock up on food and supplies ? #CoronaVirus,Neutral
103,45055,"Washington, DC",10/3/2020,Missouri AG sues televangelist for advertising Silver Solution as a cure for coronavirus https://t.co/wUffral0NW https://t.co/Q5kAOjafCt,Positive
104,45056,"Washington, DC",10/3/2020,"President Trump: ""It will go away.  Just stay calm.  It will go away."" https://t.co/J8aF2Zb8v0",Positive
105,45057,Canada,10/3/2020,You actually need to stock pile on food first before you can actually use all that toilet paper.   But you have you eat it before you need to use the toilet.  Only then will you have the need for toilet paper #toiletpaper #covid19 #coronavirus #idiots,Neutral
106,45058,"Hamilton, Ontario, Canada",10/3/2020,"We (@hamiltonpoverty) are calling on Canadian Federal Government ?? to provide #BasicIncome 'Well-being and Stimulus Payments' during current COVID-19 situation. A basic income (even interim) could help keep people healthy, then revive consumer confidence and spending. #CdnPoli https://t.co/wRmkWLhJku",Extremely Positive
107,45059,,10/3/2020,"Solid advice for seniors, their family members &amp; those of who have #complexhealth care needs.@CDC: Older #Americans should consider stocking up on food, medications &amp; avoid venturing out as #coronavirus spreads https://t.co/yiDKEL9m1a #COVID19Canada #CoronavirusCanada #bcseniors",Positive
108,45060,"Hackney, London",10/3/2020,"Local media in Naples reported that Seria A football players Callejon, Llorente and Ospinta were among the people queuing outside a supermarket last night to stock up on food during the #coronavirus emergency.",Negative
109,45061,,10/3/2020,"Reminder: a State of Emergency is in effect statewide due to #Coronavirus.

Californians are protected from illegal price gouging on housing, gas, food, and other essential supplies. https://t.co/nw5FHsodTj https://t.co/r8wH8MSped",Negative
110,45062,,10/3/2020,"Just thinking if we have to close schools, how many children may lose access to main source of meals.  And what will happen to demand at food banks. #trusselltrust #coronavirus #foodbanks #poverty #uk https://t.co/Mw71RzC6z1",Negative
111,45063,United States,11/3/2020,"@realDonaldTrump What can you do about #COVID2019? 

- dont go out sick
- wash hands
- call ahead, wear mask to doctor
- stock up food, medicines
- work from home
- keep social distances
- hand sanitizer after surfaces
- avoid touching",Negative
112,45064, England.,11/3/2020,"As I appear to be absolutely no good at stock piling/panic buying  food goods and toilet rolls for the #coronavirus I'm moving on to something I'm good at buying ?

Tin whistles and Apple Watch bands.

Better than toilet rolls ? https://t.co/UdI4PYuLDh",Positive
113,45065,United States,11/3/2020,"Pretty good chance that your waiter/waitress, grocery/department store clerk, or Uber/Taxi driver, doesn't have health insurance or paid sick leave. 

Also a pretty good chance that these people come in contact with #COVID19 #coronavirus 

Still think Bernie's radical? Good luck.",Extremely Positive
114,45066,"Highland, MI",11/3/2020,"I dont understand the run on toilet paper. 

You would think that youd stock up on food first. Without food, you wont need the toilet paper. #coronavirus",Negative
115,45067,Sydney,11/3/2020,So the govt is trying to boost spending to save the economy but what about the several retail staff I witnessed yesterday - in the one store - continuously coughing over merchandise?? And elsewhere?? #bigW #eastgardens   #Coronavirus #stimulus #auspol,Positive
116,45068,,11/3/2020,"We've been lied to about COVID-19. Find out why you need to stock up on Food &amp; Water before all cities are quarantined.
https://t.co/RTBHfraXTU
coronavirus chiropractor naturopath stocks gold silver blackpink bts  coach trainer librarian twice yibo xiaozhan animalcrossing trucker https://t.co/AKuNBNa8jS",Negative
117,45069,Home of the Growling Tigers,11/3/2020,"Metro Manila Lock Down will cause shortage of food supply, hoarding of stuffs, less fortunate families will not be able to stock up, and a lot more. Oh Lord, we pray for covid-19 to end before everything boils down to worst.",Negative
